,State,Uninsured Rate (2010),Uninsured Rate (2015),Uninsured Rate Change (2010-2015),Health Insurance Coverage Change (2010-2015),Employer Health Insurance Coverage (2015),Marketplace Health Insurance Coverage (2016),Marketplace Tax Credits (2016),Average Monthly Tax Credit (2016),State Medicaid Expansion (2016),Medicaid Enrollment (2013),Medicaid Enrollment (2016),Medicaid Enrollment Change (2013-2016),Medicare Enrollment (2016),Coverage Change Rate
0,Alabama,0.146,0.101,-0.045,215000,2545000,165534,152206,310,0.0,799176.0,910775,111599.0,989855,-4777777.777777778
1,Alaska,0.199,0.149,-0.05,36000,390000,17995,16205,750,1.0,122334.0,166625,44291.0,88966,-720000.0
2,Arizona,0.169,0.108,-0.061,410000,3288000,179445,124346,230,1.0,1201770.0,1716198,514428.0,1175624,-6721311.4754098365
3,Arkansas,0.175,0.095,-0.08,234000,1365000,63357,56843,306,1.0,556851.0,920194,363343.0,606146,-2925000.0
4,California,0.185,0.086,-0.099,3826000,9254000,1415428,1239893,309,1.0,7755381.0,11843081,4087700.0,5829777,-38646464.646464646
5,Colorado,0.159,0.081,-0.078,419000,2949000,108311,67062,318,1.0,783420.0,1375264,591844.0,820234,-5371794.871794872
7,Delaware,0.097,0.059,-0.038,35000,564000,25379,21467,330,1.0,223324.0,236702,13378.0,186835,-921052.6315789474
8,District of Columbia,0.076,0.038,-0.038,25000,388000,17666,1224,183,1.0,235786.0,255491,19705.0,90492,-657894.7368421053
9,Florida,0.213,0.133,-0.08,1597000,8847000,1531714,1428712,305,0.0,3104996.0,3644673,539677.0,4149593,-19962500.0
10,Georgia,0.197,0.139,-0.058,581000,5240000,478016,427353,291,0.0,1535090.0,1782301,247211.0,1574058,-10017241.379310343
11,Hawaii,0.079,0.04,-0.039,54000,867000,13313,10958,270,1.0,288357.0,341200,52843.0,252514,-1384615.3846153845
12,Idaho,0.177,0.11,-0.067,109000,836000,94270,82802,265,0.0,238150.0,293905,55755.0,294284,-1626865.671641791
13,Illinois,0.138,0.071,-0.067,850000,7359000,335243,259701,237,1.0,2626943.0,3117939,490996.0,2118300,-12686567.164179103
14,Indiana,0.148,0.096,-0.052,339000,3825000,168884,139437,259,1.0,1120674.0,1489805,369131.0,1181014,-6519230.76923077
15,Iowa,0.093,0.05,-0.043,132000,1862000,48949,42595,307,1.0,493515.0,619055,125540.0,587780,-3069767.4418604653
16,Kansas,0.139,0.091,-0.048,137000,1659000,89566,75815,247,0.0,378160.0,421638,43478.0,499753,-2854166.6666666665
17,Kentucky,0.153,0.06,-0.093,404000,2316000,74640,56488,258,1.0,606805.0,1220788,613983.0,881938,-4344086.021505376
18,Louisiana,0.178,0.119,-0.059,269000,2295000,184403,170806,362,1.0,1019787.0,1328708,308921.0,817272,-4559322.033898305
20,Maryland,0.113,0.066,-0.047,278000,3700000,135208,100844,243,1.0,856297.0,1252304,396007.0,960848,-5914893.617021277
21,Massachusetts,0.044,0.028,-0.016,107000,4232000,207121,157751,190,1.0,1296359.0,1684328,387969.0,1252277,-6687500.0
22,Michigan,0.124,0.061,-0.063,618000,5876000,313123,275080,233,1.0,1912009.0,2300958,388949.0,1947787,-9809523.80952381
23,Minnesota,0.091,0.045,-0.046,250000,3319000,74060,47266,203,1.0,873040.0,1051509,178469.0,944222,-5434782.608695652
24,Mississippi,0.182,0.127,-0.055,161000,1326000,77747,73246,306,0.0,637229.0,693869,56640.0,571699,-2927272.727272727
25,Missouri,0.132,0.098,-0.034,203000,3389000,252044,225878,315,0.0,846084.0,967284,121200.0,1163543,-5970588.235294118
26,Montana,0.173,0.116,-0.057,58000,510000,51758,44091,306,1.0,148974.0,224048,75074.0,209389,-1017543.8596491228
27,Nebraska,0.115,0.082,-0.033,62000,1100000,80213,72091,296,0.0,244600.0,242702,-1898.0,322796,-1878787.8787878787
